Trial number,testcase,baseline_alarm,baseline_crash_result,baseline_health_result,baseline_recovery_result,baseline_state_result,baseline_custom_result
compare-results-050cdfd5d958858a52481f4d4c19cad1.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['daemonset_pods']['test-cluster']"", ""root['daemon_set']['test-cluster']""]}",Pass,Pass
compare-results-311129430abcb8b8b9e4f8d2481ef16a.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['daemonset_pods']['test-cluster']"", ""root['daemon_set']['test-cluster']""]}",Pass,Pass
compare-results-401f10bf8d428fd46d5690eabc7e2dcb.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['daemonset_pods']['test-cluster']"", ""root['daemon_set']['test-cluster']""]}",Pass,Pass
compare-results-6ef9bdccce894838f0819fb076675b2c.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['daemonset_pods']['test-cluster']"", ""root['daemon_set']['test-cluster']""]}",Pass,Pass
compare-results-882027170f3060f3e87135cee4f3415c.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['daemonset_pods']['test-cluster']"", ""root['daemon_set']['test-cluster']""]}",Pass,Pass
compare-results-9af6306b5c7ec09055f5518efdf1d317.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['daemonset_pods']['test-cluster']"", ""root['daemon_set']['test-cluster']""]}",Pass,Pass
compare-results-b5e83917c6618bfd617e0f46788dc24e.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['daemonset_pods']['test-cluster']"", ""root['daemon_set']['test-cluster']""]}",Pass,Pass
compare-results-c48743cf1c0fd646ea221fd19ecb2ee4.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['daemonset_pods']['test-cluster']"", ""root['daemon_set']['test-cluster']""]}",Pass,Pass
trial-00-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '[""spec"", ""image""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '[""spec"", ""resources"", ""claims""]', 'testcase': 'array-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '[""spec"", ""resources"", ""claims""]', 'testcase': 'array-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '[""spec"", ""image""]', 'testcase': 'string-change'}",True,Pass,daemon_set: test-cluster desired_number_scheduled [4] number_ready [3],Pass,Pass,Pass
trial-00-0000,"{'field': '[""spec"", ""resources"", ""claims""]', 'testcase': 'array-push'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '[""spec"", ""resources"", ""claims""]', 'testcase': 'array-pop'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '[""spec"", ""image""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '[""spec"", ""volumeMounts"", 0, ""subPath""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '[""spec"", ""volumeMounts"", 0, ""subPath""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '[""spec"", ""volumeMounts"", 0, ""subPath""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0002,"{'field': '[""spec"", ""volumeMounts"", 0, ""subPathExpr""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0002,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0002,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0002,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0002,"{'field': '[""spec"", ""initContainers"", 0]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0002,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0002,"{'field': '[""spec"", ""volumeMounts"", 0, ""subPathExpr""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0002,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0002,"{'field': '[""spec"", ""resources"", ""limits""]', 'testcase': 'object-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '[""spec"", ""serviceAccountAnnotations"", ""ACTOKEY""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '[""spec"", ""positionDB""]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '[""spec"", ""volumeMounts"", 0, ""subPathExpr""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '[""spec"", ""serviceAccountAnnotations"", ""ACTOKEY""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '[""spec"", ""serviceAccountAnnotations"", ""ACTOKEY""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '[""spec"", ""serviceAccountAnnotations"", ""ACTOKEY""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,"{'field': '[""spec"", ""ports"", 0, ""containerPort""]', 'testcase': 'number-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,"{'field': '[""spec"", ""internalMountPropagation""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,"{'field': '[""spec"", ""ports"", 0, ""containerPort""]', 'testcase': 'number-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,"{'field': '[""spec"", ""internalMountPropagation""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,"{'field': '[""spec"", ""internalMountPropagation""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0005,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0005,"{'field': '[""spec"", ""metricsPort""]', 'testcase': 'number-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0005,"{'field': '[""spec"", ""serviceSelector"", ""ACTOKEY""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0005,"{'field': '[""spec"", ""metricsPort""]', 'testcase': 'number-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0005,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0005,"{'field': '[""spec"", ""serviceSelector"", ""ACTOKEY""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0005,"{'field': '[""spec"", ""serviceSelector"", ""ACTOKEY""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0005,"{'field': '[""spec"", ""metricsPort""]', 'testcase': 'number-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0005,"{'field': '[""spec"", ""serviceSelector"", ""ACTOKEY""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,,False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '[""spec"", ""command""]', 'testcase': 'array-deletion'}",True,Pass,daemon_set: test-cluster desired_number_scheduled [4] number_ready [3],Pass,Pass,Pass
trial-01-0001,,False,Pass,Pass,Pass,Pass,Pass
trial-01-0001,"{'field': '[""spec"", ""command""]', 'testcase': 'array-push'}",True,Pass,daemon_set: test-cluster desired_number_scheduled [4] number_ready [3],Pass,Pass,Pass
trial-01-0002,,False,Pass,Pass,Pass,Pass,Pass
trial-01-0002,"{'field': '[""spec"", ""command""]', 'testcase': 'array-pop'}",True,Pass,daemon_set: test-cluster desired_number_scheduled [4] number_ready [3],Pass,Pass,Pass
trial-01-0003,,False,Pass,Pass,Pass,Pass,Pass
trial-01-0003,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0003,"{'field': '[""spec"", ""readinessProbe""]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0003,"{'field': '[""spec"", ""command""]', 'testcase': 'array-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0003,"{'field': '[""spec"", ""readinessProbe""]', 'testcase': 'object-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0003,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0003,"{'field': '[""spec"", ""volumes""]', 'testcase': 'array-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0003,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0004,,False,Pass,Pass,Pass,Pass,Pass
trial-01-0004,"{'field': '[""spec"", ""securityContext""]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0004,"{'field': '[""spec"", ""volumeMounts""]', 'testcase': 'array-push'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0004,"{'field': '[""spec"", ""imagePullSecrets"", 0, ""name""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0004,"{'field': '[""spec"", ""imagePullSecrets"", 0, ""name""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0004,"{'field': '[""spec"", ""volumeMounts""]', 'testcase': 'array-push'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0004,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0004,"{'field': '[""spec"", ""securityContext""]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0004,"{'field': '[""spec"", ""imagePullSecrets"", 0, ""name""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
