Trial number,testcase,baseline_alarm,baseline_crash_result,baseline_health_result,baseline_recovery_result,baseline_state_result,baseline_custom_result
compare-results-324e3ba3a957a38cc236117f9c7c9950.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['pod']['test-cluster-server-0']"", ""root['pod']['test-cluster-server-1']"", ""root['pod']['test-cluster-server-2']"", ""root['stateful_set']['test-cluster-server']""]}",Pass,Pass
trial-00-0000,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '[""spec"", ""rabbitmqConfig"", ""additionalConfig""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '[""spec"", ""rabbitmqConfig"", ""additionalConfig""]', 'testcase': 'string-change'}",True,Pod test-cluster-server-2 crashed,statefulset: test-cluster-server replicas [3] ready_replicas [2],Pass,Pass,Pass
trial-00-0001,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '[""spec"", ""rabbitmqConfig"", ""additionalConfig""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '[""spec"", ""resources"", ""limits""]', 'testcase': 'object-deletion'}",True,Pass,statefulset: test-cluster-server replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-00-0002,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0002,"{'field': '[""spec"", ""resources"", ""requests"", ""ACTOKEY""]', 'testcase': 'string-deletion'}",True,Pass,statefulset: test-cluster-server replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-00-0002,"{'field': '[""spec"", ""resources"", ""limits""]', 'testcase': 'object-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '[""spec"", ""resources"", ""requests"", ""ACTOKEY""]', 'testcase': 'string-change'}",True,Pass,statefulset: test-cluster-server replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-00-0004,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,"{'field': '[""spec"", ""persistence""]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '[""spec"", ""resources"", ""limits"", ""ACTOKEY""]', 'testcase': 'string-deletion'}",True,Pass,statefulset: test-cluster-server replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-01-0000,,False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '[""spec"", ""tolerations""]', 'testcase': 'array-pop'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '[""spec"", ""tolerations""]', 'testcase': 'array-push'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '[""spec"", ""tolerations""]', 'testcase': 'array-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '[""spec"", ""tolerations""]', 'testcase': 'array-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0001,,False,Pass,Pass,Pass,Pass,Pass
trial-01-0001,"{'field': '[""spec"", ""resources"", ""limits"", ""ACTOKEY""]', 'testcase': 'string-change'}",True,Pass,statefulset: test-cluster-server replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-01-0002,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0002,,False,Pass,Pass,Pass,Pass,Pass
trial-01-0002,"{'field': '[""spec"", ""image""]', 'testcase': 'string-deletion'}",True,Pass,statefulset: test-cluster-server replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-01-0003,,False,Pass,Pass,Pass,Pass,Pass
trial-01-0003,"{'field': '[""spec"", ""image""]', 'testcase': 'string-change'}",True,Pass,"statefulset: test-cluster-server replicas [3] ready_replicas [2]
pod: test-cluster-server-2",Pass,Pass,Pass
trial-01-0004,,False,Pass,Pass,Pass,Pass,Pass
trial-01-0004,"{'field': '[""spec"", ""image""]', 'testcase': 'string-empty'}",True,Pass,statefulset: test-cluster-server replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-02-0000,,False,Pass,Pass,Pass,Pass,Pass
trial-02-0000,"{'field': '[""spec"", ""affinity""]', 'testcase': 'object-deletion'}",True,Pass,"statefulset: test-cluster-server replicas [3] ready_replicas [2]
pod: test-cluster-server-2",Pass,Pass,Pass
trial-02-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0001,"{'field': '[""spec"", ""annotations"", ""ACTOKEY""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0001,"{'field': '[""spec"", ""annotations"", ""ACTOKEY""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0001,,False,Pass,Pass,Pass,Pass,Pass
trial-02-0001,"{'field': '[""spec"", ""resources"", ""claims"", 0, ""name""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0001,"{'field': '[""spec"", ""resources"", ""claims"", 0, ""name""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0001,"{'field': '[""spec"", ""annotations"", ""ACTOKEY""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0001,"{'field': '[""spec"", ""annotations"", ""ACTOKEY""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
